Giá,Diện tích,Số phòng ngủ,Số toilet,Địa chỉ nhà,Ngày đăng tin,Ngày hết hạn,Mã tin,Quận,Đường,Lượt xem
6.5,49.0,1,0,"Dự án Thái An Apartment, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh",2023-06-23,2023-07-08,9067,Quận 12,Đường Nguyễn Văn Quá,82
6.5,49.0,0,0,"Dự án Thái An Apartment, Đường Quốc lộ 1A, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",2023-06-23,2023-07-08,9065,Quận 12,Đường Quốc lộ 1A,72
15.0,90.0,3,2,"Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",2023-07-17,2023-08-01,10289,Quận 11,Đường Lê Đại Hành,58
20.0,97.0,0,0,"Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",2023-08-16,2023-08-31,12004,Quận 11,Đường Lê Đại Hành,49
25.0,116.0,0,0,"Đường 3/2, Phường 15, Quận 11, Hồ Chí Minh",2023-08-16,2023-08-31,12011,Quận 11,Đường 3/2,70
25.0,60.0,5,6,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",2023-10-04,2023-10-19,13437,Quận 7,Đường Lâm Văn Bền,53
15.0,60.0,0,0,"Đường Hồng Bàng, Phường 9, Quận 11, Hồ Chí Minh",2023-07-15,2023-07-30,10233,Quận 11,Đường Hồng Bàng,78
12.0,85.0,2,2,"Dự án Central Garden Đường Võ Văn Kiệt, Phường Cô Giang, Quận 1, Hồ Chí Minh",2023-05-24,2023-06-08,6894,Quận 1,Đường Võ Văn Kiệt,78
14.0,90.0,3,2,"48 Đường Hoa Sứ, Phường 7, Phú Nhuận, Hồ Chí Minh",2023-07-18,2023-08-02,10492,Quận Phú Nhuận,Đường Hoa Sứ,35
10.0,70.0,2,2,"Đường Thủy Lợi, Phường Phước Long A, Quận 9, Hồ Chí Minh",2023-07-14,2023-07-29,10129,Quận 9,Đường Thủy Lợi,82
12.0,96.0,3,2,"Đường Võ Văn Kiệt, Phường 16, Quận 8, Hồ Chí Minh",2023-07-14,2023-07-29,10045,Quận 8,Đường Võ Văn Kiệt,70
15.0,81.0,2,2,"Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",2023-06-28,2023-07-13,9382,Quận 3,Đường Trường Sa,52
40.0,150.0,0,0,"Đường Lam Sơn, Phường 6, Bình Thạnh, Hồ Chí Minh",2023-06-06,2023-06-21,7485,Quận Bình Thạnh,Đường Lam Sơn,107
12.0,42.0,0,0,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",2023-07-06,2023-07-21,9712,Quận 5,Đường An Dương Vương,36
35.0,126.0,3,4,"126B Đường Phan Đăng Lưu, Phường 3, Phú Nhuận, Hồ Chí Minh",2023-05-22,2023-06-06,6197,Quận Phú Nhuận,Đường Phan Đăng Lưu,31
26.0,100.0,4,0,"351/10a Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",2023-05-06,2023-05-21,6236,Quận 3,Đường Lê Văn Sỹ,63
40.0,125.0,6,0,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh",2023-06-21,2023-07-06,8860,Quận Gò Vấp,Đường Phan Văn Trị,93
14.0,100.0,3,2,"Dự án BMC Bến Chương Dương Đường Bến Chương Dương, Phường Cô Giang, Quận 1, Hồ Chí Minh",2023-05-24,2023-06-08,6895,Quận 1,Đường Bến Chương Dương,90
15.0,105.0,3,2,"Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",2023-07-06,2023-07-21,9700,Quận 5,Đường Tản Đà,84
15.0,105.0,3,2,"Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",2023-07-21,2023-08-05,10854,Quận 5,Đường Tản Đà,91
15.0,95.0,3,2,"Đường Lạc Long Quân, Phường 10, Quận 11, Hồ Chí Minh",2023-07-17,2023-08-01,10287,Quận 11,Đường Lạc Long Quân,78
18.0,132.0,3,3,"Đường Hồng Bàng, Phường 10, Quận 5, Hồ Chí Minh",2023-07-21,2023-08-05,10860,Quận 5,Đường Hồng Bàng,78
10.5,92.0,2,2,"Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh",2023-07-14,2023-07-29,10041,Quận 8,Đường Âu Dương Lân,72
15.0,81.0,2,2,"Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh",2023-07-18,2023-08-02,10630,Quận 3,Đường Trường Sa,49
14.0,101.0,3,2,"Đường Tản Đà, Phường 11, Quận 5, Hồ Chí Minh",2023-07-06,2023-07-21,9699,Quận 5,Đường Tản Đà,78
12.5,85.0,2,2,"Đường Bến Vân Đồn, Phường 1, Quận 4, Hồ Chí Minh",2023-07-03,2023-07-18,9587,Quận 4,Đường Bến Vân Đồn,88
40.0,125.0,0,0,"100E Đường Nguyễn Công Hoan, Phường 7, Phú Nhuận, Hồ Chí Minh",2023-06-24,2023-07-09,9204,Quận Phú Nhuận,Đường Nguyễn Công Hoan,56
23.0,110.0,2,3,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-12-12,2023-12-26,18890,Quận 1,Đường Trần Quang Khải,12
15.0,87.0,2,0,"Đường Lê Đại Hành, Phường 15, Quận 11, Hồ Chí Minh",2023-07-17,2023-08-01,10300,Quận 11,Đường Lê Đại Hành,36
36.0,80.0,0,0,"110 Đường Phùng Văn Cung, Phường 7, Phú Nhuận, Hồ Chí Minh",2023-10-06,2023-10-21,12559,Quận Phú Nhuận,Đường Phùng Văn Cung,29
40.0,98.0,4,4,"20/ Đường Hoàng Diệu, Phường 10, Phú Nhuận, Hồ Chí Minh",2023-08-09,2023-08-24,11670,Quận Phú Nhuận,Đường Hoàng Diệu,53
14.0,35.0,0,0,"Đường Nguyễn Phúc Nguyên, Phường 3, Quận 3, Hồ Chí Minh",2023-06-28,2023-07-13,9373,Quận 3,Đường Nguyễn Phúc Nguyên,54
30.0,200.0,4,3,"212 Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",2023-08-11,2023-08-26,11763,Quận Bình Thạnh,Đường Nguyễn Văn Đậu,53
130.0,450.0,2,2,"Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh",2023-12-08,2023-12-22,18241,Quận 10,Đường 3/2,8
140.0,750.0,4,5,"Đường Võ Văn Kiệt, Phường Cầu Kho, Quận 1, Hồ Chí Minh",2023-12-09,2023-12-23,18445,Quận 1,Đường Võ Văn Kiệt,15
70.0,144.0,0,0,"157 Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-10-06,2023-10-21,12061,Quận 1,Đường Trần Quang Khải,42
50.0,192.0,0,0,"329 Đường Phan Xích Long, Phường 1, Phú Nhuận, Hồ Chí Minh",2023-07-01,2023-07-16,9567,Quận Phú Nhuận,Đường Phan Xích Long,73
13.0,28.0,3,3,"119/19/3, Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Hồ Chí Minh",2023-07-03,2023-07-18,9611,Quận 5,Đường Nguyễn Văn Cừ,77
25.0,100.0,5,5,"20A Đường Nguyễn Thái Bình, Phường 4, Tân Bình, Hồ Chí Minh",2023-04-18,2023-05-03,5171,Quận Tân Bình,Đường Nguyễn Thái Bình,51
35.0,110.0,5,3,"308 Đường Trường Sa, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-06-17,2023-07-02,8690,Quận Phú Nhuận,Đường Trường Sa,62
30.0,99.0,0,0,"Đường Lam Sơn, Phường 5, Bình Thạnh, Hồ Chí Minh",2023-07-11,2023-07-26,9932,Quận Bình Thạnh,Đường Lam Sơn,57
35.0,90.0,5,4,"Đường Bà Hạt, Phường 6, Quận 10, Hồ Chí Minh",2023-05-09,2023-05-24,6289,Quận 10,Đường Bà Hạt,93
40.0,108.0,3,4,"260B Đường Nguyễn Thái Bình, Phường 12, Tân Bình, Hồ Chí Minh",2023-06-10,2023-06-25,7726,Quận Tân Bình,Đường Nguyễn Thái Bình,22
25.0,315.0,0,0,"Đường Huỳnh Tịnh Của, Phường 8, Quận 3, Hồ Chí Minh",2023-07-18,2023-08-02,10612,Quận 3,Đường Huỳnh Tịnh Của,68
55.0,160.0,2,3,"Hẻm 421 Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",2023-07-05,2023-07-20,9688,Quận 10,Đường Sư Vạn Hạnh,36
25.0,90.0,5,4,"1/3A Đường Út Tịch, Phường 4, Tân Bình, Hồ Chí Minh",2023-05-13,2023-05-28,6527,Quận Tân Bình,Đường Út Tịch,36
23.0,90.0,0,0,"42 Đường Bàn Cờ, Phường 3, Quận 3, Hồ Chí Minh",2023-06-22,2023-07-07,8947,Quận 3,Đường Bàn Cờ,59
45.0,84.0,7,4,"75 Đường Phan Đăng Lưu, Phường 7, Phú Nhuận, Hồ Chí Minh",2023-09-09,2023-09-24,12920,Quận Phú Nhuận,Đường Phan Đăng Lưu,59
45.0,115.0,5,6,"58A Đường Hoa Phượng, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-06-29,2023-07-14,9482,Quận Phú Nhuận,Đường Hoa Phượng,66
40.0,90.0,3,4,"112 Đường Hoa Phượng, Phường 2, Phú Nhuận, Hồ Chí Minh",2023-08-10,2023-08-25,11690,Quận Phú Nhuận,Đường Hoa Phượng,47
40.0,143.0,3,4,"D005 Đường Miếu Nổi, Phường 3, Bình Thạnh, Hồ Chí Minh",2023-07-04,2023-07-19,9676,Quận Bình Thạnh,Đường Miếu Nổi,100
45.0,175.0,0,0,"Đường Lê Quang Định, Phường 7, Bình Thạnh, Hồ Chí Minh",2023-06-07,2023-06-22,7540,Quận Bình Thạnh,Đường Lê Quang Định,48
50.0,160.0,0,0,"18c Đường Trần Nhật Duật, Phường Tân Định, Quận 1, Hồ Chí Minh",2023-06-26,2023-07-11,9292,Quận 1,Đường Trần Nhật Duật,103
30.0,136.0,0,0,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh",2023-07-14,2023-07-29,10066,Quận Bình Thạnh,Đường Nguyễn Văn Đậu,37
20.0,81.0,4,4,"125B Đường Nguyễn Thái Bình, Phường 4, Tân Bình, Hồ Chí Minh",2023-05-22,2023-06-06,6698,Quận Tân Bình,Đường Nguyễn Thái Bình,47
25.0,64.0,4,5,"63/18A Đường Hoàng Hoa Thám, Phường 6, Bình Thạnh, Hồ Chí Minh",2023-08-30,2023-09-14,12699,Quận Bình Thạnh,Đường Hoàng Hoa Thám,54
50.0,176.0,0,0,"230 Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",2023-06-28,2023-07-13,9399,Quận Bình Thạnh,Đường Nguyễn Gia Trí,73
25.0,120.0,0,0,"Đường Chu Văn An, Phường 12, Bình Thạnh, Hồ Chí Minh",2023-07-22,2023-08-06,10947,Quận Bình Thạnh,Đường Chu Văn An,77
10.0,21.0,2,2,"Đường Sư Vạn Hạnh, Phường 13, Quận 10, Hồ Chí Minh",2023-07-14,2023-07-29,10179,Quận 10,Đường Sư Vạn Hạnh,64
31.0,126.0,5,4,"29F Đường Đoàn Thị Điểm, Phường 1, Phú Nhuận, Hồ Chí Minh",2023-05-22,2023-06-06,6705,Quận Phú Nhuận,Đường Đoàn Thị Điểm,54
10.0,45.0,0,0,"233 Đường Văn Thân, Phường 7, Quận 6, Hồ Chí Minh",2023-07-07,2023-07-22,9728,Quận 6,Đường Văn Thân,77
130.0,960.0,0,0,"Đường Phan Đăng Lưu, Phường 5, Phú Nhuận, Hồ Chí Minh",2023-12-07,2023-12-21,18045,Quận Phú Nhuận,Đường Phan Đăng Lưu,14
19.0,275.0,0,0,"960 Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",2023-08-25,2023-09-09,12576,Quận 12,Đường Hà Huy Giáp,59
3.5,22.0,0,0,"Đường Đặng Văn Ngữ, Phường 10, Phú Nhuận, Hồ Chí Minh",2023-08-07,2023-08-22,11561,Quận Phú Nhuận,Đường Đặng Văn Ngữ,71
15.0,150.0,0,0,"Đường Nguyễn Duy Trinh, Phường Long Trường, Quận 9, Hồ Chí Minh",2023-07-14,2023-07-29,10107,Quận 9,Đường Nguyễn Duy Trinh,80
16.0,40.0,0,0,"Đường Mỹ Hưng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",2023-08-01,2023-08-16,11231,Quận 7,Đường Mỹ Hưng,61
50.0,210.0,0,0,"Đường Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh",2023-11-21,2023-12-06,16623,Quận Tân Bình,Đường Cộng Hòa,35
37.0,280.0,2,2,"Đường Âu Cơ, Phường 9, Tân Bình, Hồ Chí Minh",2022-12-28,2023-01-12,2334,Quận Tân Bình,Đường Âu Cơ,84
12.5,232.0,0,0,"Đường Ông Ích Khiêm, Phường 5, Quận 11, Hồ Chí Minh",2023-07-15,2023-07-30,10282,Quận 11,Đường Ông Ích Khiêm,77
14.0,48.0,2,2,"128B Đường Trần Phú, Phường 4, Quận 5, Hồ Chí Minh",2023-07-03,2023-07-18,9600,Quận 5,Đường Trần Phú,92
10.0,32.0,0,0,"Đường Nghĩa Hòa, Phường 6, Tân Bình, Hồ Chí Minh",2023-12-19,2024-01-03,20050,Quận Tân Bình,Đường Nghĩa Hòa,6
3.5,55.0,1,1,"Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",2023-08-22,2023-09-06,12288,Quận Bình Tân,Đường Bình Thành,79
35.0,90.0,5,4,"371/8A Đường Võ Thị Sáu, Phường 8, Quận 3, Hồ Chí Minh",2023-08-25,2023-09-09,12571,Quận 3,Đường Võ Thị Sáu,62
